task_id,set,price_usd,k27_q2_2bit,reap640_iq1s,reap576_iq2xxs
28096_836,probe,500.0,pass,pass,pass
18827_741,probe,1000.0,pass,pass,pass
29618_781,probe,500.0,pass,pass,pass
14294,differential,4000.0,fail,fail,pass
24508_791,differential,1000.0,fail,pass,pass
15815_1,differential,4000.0,fail,fail,pass
27353_776,differential,500.0,fail,pass,fail
15925,differential,2000.0,fail,fail,pass
29916_609,battle16,500.0,fail,running,running
6883,battle16,32000,fail,running,running
43395_530,battle16,250.0,fail,running,running
25901_945,battle16,2000.0,fail,running,running
40259_1089,battle16,500.0,fail,running,running
18746_833,battle16,1000.0,fail,running,running
4324,battle16,2000.0,fail,running,running
44429_1100,battle16,250.0,fail,running,running
40208_1108,battle16,500.0,fail,running,running
44618_1007,battle16,250.0,fail,running,running
19132_872,battle16,1000.0,fail,running,running
41885_1134,battle16,500.0,fail,running,running
50064_846,battle16,250.0,fail,running,running
50314_790,battle16,250.0,fail,running,running
37688_441,battle16,500.0,fail,running,running
44040_470,battle16,250.0,fail,running,running
